"total","first_dist","last_dist","name_a","id_a","seasons_a","teams_a","name_b","id_b","seasons_b","teams_b","same_season","already_linked"
0,0,0,"ADAM ARIEL",103,"2025","MACCABI RAMAT GAN","ADAM ARIEL",1082,"2026","MACCABI RAMAT GAN",FALSE,FALSE
0,0,0,"AFEK AMSALEM",934,"2025","NESS ZIONA","AFEK AMSALEM",1886,"2026","HAPOEL JERUSALEM",FALSE,FALSE
0,0,0,"AMIN STEVENS",1139,"2026","RISHON LEZION","AMIN STEVENS",2140,"2025,2026","MACCABI RAANANA; MACCABI RAMAT GAN",TRUE,FALSE
0,0,0,"AMIT GERSHON",1119,"2025,2026","BEER SHEVA; HAPOEL HAIFA","AMIT GERSHON",1249,"2026","BEER SHEVA; ELIZUR NETANYA",TRUE,FALSE
0,0,0,"ANTONIO BLAKENEY",379,"2025","HAPOEL TEL AVIV","ANTONIO BLAKENEY",1027,"2025,2026","HAPOEL TEL AVIV; MACCABI TEL AVIV",TRUE,FALSE
0,0,0,"ARIEL AIZIK",1113,"2026","BEER SHEVA","ARIEL AIZIK",29473,"2025","ELITZUR NETANYA",FALSE,FALSE
0,0,0,"ATIR TALMOR",426,"2025","NESS ZIONA","ATIR TALMOR",1152,"2026","NESS ZIONA",FALSE,FALSE
0,0,0,"AUSTIN WILEY",1045,"2026","HAPOEL JERUSALEM","AUSTIN WILEY",29310,"2025","HAPOEL JERUSALEM",FALSE,FALSE
0,0,0,"BAR TIMOR",995,"2025","HAPOEL TEL AVIV","BAR TIMOR",1031,"2025,2026","HAPOEL HAIFA; HAPOEL TEL AVIV",TRUE,FALSE
0,0,0,"BEN ALTSHULER",1165,"2026","GALIL ELION","BEN ALTSHULER",2046,"2026","MACCABI RAANANA",TRUE,FALSE
0,0,0,"BEN ALTSHULER",1165,"2026","GALIL ELION","BEN ALTSHULER",3663,"2025","HAPOEL GALIL ELION",FALSE,FALSE
0,0,0,"BEN ALTSHULER",2046,"2026","MACCABI RAANANA","BEN ALTSHULER",3663,"2025","HAPOEL GALIL ELION",FALSE,FALSE
0,0,0,"BRYCE BROWN",1559,"2026","NESS ZIONA","BRYCE BROWN",29701,"2025","NESS ZIONA",FALSE,FALSE
0,0,0,"CHINANU ONUAKU",1076,"2026","BNEI HERZLIYA","CHINANU ONUAKU",1920,"2025","BNEI HERZLIYA",FALSE,FALSE
