fixture_id,season,gamecode,source_event_order,provider_number_of_play,period,clock,team_code,play_type,player_id,player_name,play_info,score_a,score_b,comment,expected_incident_id,expected_parent_order,expected_ft_trip_id,expected_possession_end,expected_end_reason,review_status,label_confidence_pct
clock_shifted_and_one,2025,1,32,37,1,06:07,IST,3FGA,P009549,"CORDINIER, ISAIA","Missed Three Pointer (0/1 -  2 pt)",,,,g1_q1_miss_32,32,,FALSE,,confirmed,99
clock_shifted_and_one,2025,1,33,38,1,06:04,IST,O,P012710,"OSMANI, ERCAN","Off Rebound (1)",,,,g1_q1_miss_32,32,,FALSE,,confirmed,99
clock_shifted_and_one,2025,1,34,39,1,06:01,TEL,CM,P013699,"CLARK III, JIMMY","Foul (1)",,,,g1_q1_personal_34,34,,FALSE,,confirmed,98
clock_shifted_and_one,2025,1,35,40,1,06:01,IST,RV,P007200,"LARKIN, SHANE","Foul Drawn (1)",,,,g1_q1_personal_34,34,,FALSE,,confirmed,98
clock_shifted_and_one,2025,1,36,41,1,06:01,IST,2FGM,P009549,"CORDINIER, ISAIA","Two Pointer (2/2 -  4 pt)",13,9,,g1_q1_and_one_36,36,,FALSE,,confirmed,99
clock_shifted_and_one,2025,1,37,42,1,06:01,TEL,CM,P014127,"BRISSETT, O'SHAE J","Foul (1)",,,,g1_q1_and_one_36,36,,FALSE,,confirmed,99
clock_shifted_and_one,2025,1,38,43,1,06:01,IST,RV,P009549,"CORDINIER, ISAIA","Foul Drawn (1)",,,,g1_q1_and_one_36,36,,FALSE,,confirmed,99
clock_shifted_and_one,2025,1,39,45,1,05:53,IST,FTM,P009549,"CORDINIER, ISAIA","Free Throw In (1/1 -  5 pt)",14,9,,g1_q1_and_one_36,36,g1_q1_and_one_ft,TRUE,and_one_final_ft,confirmed,99
clock_shifted_and_one,2025,1,40,46,1,05:53,TEL,3FGA,P011193,"BLATT, TAMIR","Missed Three Pointer (0/1 -  0 pt)",,,,g1_q1_miss_40,40,,TRUE,miss_defensive_rebound,confirmed,99
clock_shifted_and_one,2025,1,41,47,1,05:53,IST,D,P014102,"JONES, KAI","Def Rebound (1)",,,,g1_q1_miss_40,40,,FALSE,,confirmed,99
and_one_with_substitutions,2025,5,94,111,1,00:32,BAR,2FGM,P006435,"LAPROVITTOLA, NICOLAS","Two Pointer (1/1 -  5 pt)",23,22,,g5_q1_and_one_94,94,,FALSE,,confirmed,99
and_one_with_substitutions,2025,5,95,112,1,00:32,BAR,RV,P006435,"LAPROVITTOLA, NICOLAS","Foul Drawn (1)",,,,g5_q1_and_one_94,94,,FALSE,,confirmed,99
and_one_with_substitutions,2025,5,96,113,1,00:32,HTA,CM,P011157,"MOTLEY, JOHNATHAN","Foul (1)",,,,g5_q1_and_one_94,94,,FALSE,,confirmed,99
and_one_with_substitutions,2025,5,97,114,1,00:32,HTA,OUT,P012609,"MALCOLM, COLLIN",Out,,,,,97,,FALSE,,confirmed,99
and_one_with_substitutions,2025,5,98,115,1,00:32,HTA,IN,P010550,"GINAT, TOMER",In,,,,,98,,FALSE,,confirmed,99
and_one_with_substitutions,2025,5,99,116,1,00:32,BAR,OUT,P009948,"MARCOS, JUANI",Out,,,,,99,,FALSE,,confirmed,99
and_one_with_substitutions,2025,5,100,117,1,00:32,BAR,IN,P009992,"BRIZUELA, DARIO",In,,,,,100,,FALSE,,confirmed,99
and_one_with_substitutions,2025,5,101,118,1,00:32,BAR,FTM,P006435,"LAPROVITTOLA, NICOLAS","Free Throw In (1/1 -  6 pt)",23,23,,g5_q1_and_one_94,94,g5_q1_and_one_ft,TRUE,and_one_final_ft,confirmed,99
four_point_play,2025,7,320,354,3,04:08,VIR,3FGM,P011987,"EDWARDS, CARSEN","Three Pointer (2/3 -  6 pt)",46,43,,g7_q3_four_point_320,320,,FALSE,,confirmed,99
four_point_play,2025,7,321,355,3,04:08,VIR,AS,P001844,"HACKETT, DANIEL","Assist (1)",,,,g7_q3_four_point_320,320,,FALSE,,confirmed,99
four_point_play,2025,7,322,356,3,04:08,MAD,CM,P009005,"DECK, GABRIEL","Foul (2)",,,,g7_q3_four_point_320,320,,FALSE,,confirmed,99
four_point_play,2025,7,323,357,3,04:08,VIR,RV,P011987,"EDWARDS, CARSEN","Foul Drawn (1)",,,,g7_q3_four_point_320,320,,FALSE,,confirmed,99
four_point_play,2025,7,324,358,3,04:08,VIR,FTM,P011987,"EDWARDS, CARSEN","Free Throw In (1/1 -  7 pt)",47,43,,g7_q3_four_point_320,320,g7_q3_four_point_ft,TRUE,and_one_final_ft,confirmed,99
